Title,To node,Image,Topic,Date,DateMM,DateDD,DateYYYY,Author 1,Author 2,Author 3,Author O,Summary,Tag P,Tag A1,Tag A2,Tag A3,Tag AO,Tag R1,Tag R2,Tag R3,Tag RO
Pulling the Rug out from under Al Qaeda,/news/pulling-rug-out-under-al-qaeda,NO,ARGUMENT,03252010,03,25,2010,Francesco Mancini,,,,,Adapted from Print Issue,Francesco Mancini,,,,Middle East,,,
Reshaping Religious Institutions: Studying the Impact of State Involvement and Regional Conflict on Pakistan’s Madrassahs,/news/reshaping-religious-institutions-studying-impact-state-involvement-and-regional-conflict,NO,COMMENT,03252010,03,25,2010,Tabinda Khan,,,,,Adapted from Print Issue,Tabinda Khan,,,,Asia,South Asia,,
The Role of Politics in Pakistan's Economy,/news/role-politics-pakistans-economy,NO,ESSAY,03252010,03,25,2010,Ishrat Husain,,,,,Adapted from Print Issue,Ishrat Husain,,,,Asia,South Asia,,
"Pakistan’s Strategic Interests, Afghanistan and the Fluctuating U.S. Strategy",/news/pakistans-strategic-interests-afghanistan-and-fluctuating-us-strategy,NO,ESSAY,03252010,03,25,2010,Syed Farooq Hasnat,,,,,Adapted from Print Issue,Syed Farooq Hasnat,,,,Asia,South Asia,Americas,North America
India-Pakistan Rivalry in Afghanistan,/news/india-pakistan-rivalry-afghanistan,NO,ESSAY,03252010,03,25,2010,Nicholas Howenstein,Sumit Ganguly,,,,Adapted from Print Issue,Nicholas Howenstein,Sumit Ganguly,,,Asia,South Asia,Middle East,
Gaming The System: How Afghan Opium Underpins Local Power,/news/gaming-system-how-afghan-opium-underpins-local-power,NO,ESSAY,03252010,03,25,2010,Justin Mankin,,,,,Adapted from Print Issue,Justin Mankin,,,,Middle East,,,
Pakistan’s Own War on Terror: What the Pakistani Public Thinks,/news/pakistans-own-war-terror-what-pakistani-public-thinks,NO,ESSAY,03152010,03,15,2010,C. Christine Fair,,,,,Adapted from Print Issue,C. Christine Fair,,,,Asia,South Asia,,
Natural Gas and War in Mozambique,/news/natural-gas-and-war-mozambique,YES,ARGUMENT,04032020,04,03,2020,Sam Ratner,,,,,Produced for Digital,Sam Ratner,,,,Africa,South Africa,,
The Mosaic of Coronavirus Vaccine Development: Systemic Failures in Vaccine Innovation,/news/mosaic-coronavirus-vaccine-development-systemic-failures-vaccine-innovation,YES,ARGUMENT,03212020,03,21,2020,Ana Santos Rutschman,,,,,Produced for Digital,Ana Santos Rutschman,,,,Global Commons,,,
The Challenge and Necessity of US-China Technology Cooperation,/news/challenge-and-necessity-us-china-technology-cooperation,YES,ARGUMENT,03122020,03,12,2020,Xiaoli Jin,,,,,Produced for Digital,Xiaoli Jin,,,,Americas,North America,Asia,North Asia
Amicable Ties Between North Korea and WIPO: A Model for Constructive Engagement?,/news/amicable-ties-between-north-korea-and-wipo-model-constructive-engagement,YES,ARGUMENT,03052020,03,05,2020,Dae Un Hong,,,,,Produced for Digital,Dae Un Hong,,,,Asia,East Asia,Global Commons,
Disruptive Technology and the Future of International Law,/news/disruptive-technology-and-future-international-law,YES,ARGUMENT,02192020,02,19,2020,Joshua Fiveson,,,,,Produced for Digital,Joshua Fiveson,,,,Global Commons,,,
The Cradle to Cradle Movement,/news/cradle-cradle-movement,YES,ARGUMENT,02172020,02,17,2020,Michael Braungart,,,,,Adapted from Print Issue,Michael Braungart,,,,Global Commons,,,
The Role of Carbon Pricing,/news/role-carbon-pricing,YES,ARGUMENT,02172020,02,17,2020,Michael Green,,,,,Adapted from Print Issue,Michael Green,,,,Global Commons,,,
Achieving Zero Waste in San Francisco: Successes and Challenges,/news/achieving-zero-waste-san-francisco-successes-and-challenges,YES,ARGUMENT,02172020,02,17,2020,Michael J. Sangiacomo,,,,,Adapted from Print Issue,Michael J. Sangiacomo,,,,Americas,North America,,
The Future of Energy: Creating Lasting Change,/news/future-energy-creating-lasting-change,YES,ARGUMENT,02172020,02,17,2020,Josh Tickell,,,,,Adapted from Print Issue,Josh Tickell,,,,Global Commons,,,
A Zero Waste World,/news/zero-waste-world,YES,ARGUMENT,02152020,02,15,2020,Joan Marc Simon,,,,,Adapted from Print Issue,Joan Marc Simon,,,,Global Commons,,,
Earth's Climate Future,/news/earths-climate-future,YES,ARGUMENT,02152020,02,15,2020,David Wallace-Wells,,,,,Adapted from Print Issue,David Wallace-Wells,,,,Global Commons,,,
"One Step Forward, Two Steps Back: An Indigenous Perspective on Recent Efforts to Fight Climate Change",/news/one-step-forward-two-steps-back-indigenous-perspective-recent-efforts-fight-climate-change,YES,ARGUMENT,02142020,02,14,2020,Danika Littlechild,,,,,Adapted from Print Issue,Danika Littlechild,,,,Global Commons,,,
International Responses to Climate-Related Migration,/news/international-responses-climate-related-migration,YES,ARGUMENT,02142020,02,14,2020,Walter Kaelin,,,,,Adapted from Print Issue,Walter Kaelin,,,,Global Commons,,,
The Importance of Inclusion in the Environmental Movement,/news/importance-inclusion-environmental-movement,YES,ARGUMENT,02132020,02,13,2020,Adrianna Quintero,,,,,Adapted from Print Issue,Adrianna Quintero,,,,Global Commons,,,
Ocean Conservation and Climate Action,/news/ocean-conservation-and-climate-action,YES,ARGUMENT,02132020,02,13,2020,Ayana Elizabeth Johnson,,,,,Adapted from Print Issue,Ayana Elizabeth Johnson,,,,Global Commons,,,
Addressing Environmental Racism,/news/addressing-environmental-racism,YES,ARGUMENT,02112020,02,11,2020,Robert Bullard,,,,,Adapted from Print Issue,Robert Bullard,,,,Global Commons,,,
Carbon Farming: A Solution to Climate Change?,/news/carbon-farming-solution-climate-change,YES,ARGUMENT,02112020,02,11,2020,Eric Toensmeier,,,,,Adapted from Print Issue,Eric Toensmeier,,,,Global Commons,,,
"Religion, Faith, and Climate Activism: Morality and Religion in the Climate Crisis",/news/religion-faith-and-climate-activism-morality-and-religion-climate-crisis,YES,ARGUMENT,02112020,02,11,2020,Rev. Susan Hendershot,,,,,Adapted from Print Issue,Rev. Susan Hendershot,,,,Global Commons,,,
Future of Climate and Energy Policy: Constructing Columbia University's Climate Task Force,/news/future-climate-and-energy-policy-constructing-columbia-universitys-climate-task-force,YES,ARGUMENT,02112020,02,11,2020,Sir Alex Halliday,,,,,Adapted from Print Issue,Sir Alex Halliday,,,,Global Commons,,,
Removing the Meat Subsidy: Our Cognitive Dissonance Around Animal Agriculture,/news/removing-meat-subsidy-our-cognitive-dissonance-around-animal-agriculture,YES,ESSAY,02112020,02,11,2020,Christina Sewell,,,,,Adapted from Print Issue,Christina Sewell,,,,Global Commons,,,
A Call to Action,/news/call-action,YES,COMMENT,02112020,02,11,2020,Bill McKibben,,,,,Adapted from Print Issue,Bill McKibben,,,,Global Commons,,,
Letter from the Dean,/news/letter-dean-1,YES,GENERAL,02112020,02,11,2020,Merit E. Janow,,,,,Adapted from Print Issue,Merit E. Janow,,,,,,,
Letter from the Editors,/news/letter-editors-4,YES,GENERAL,02112020,02,11,2020,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,,,,
Table of Contents,/news/table-contents-4,YES,GENERAL,02112020,02,11,2020,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,,,,
Averting Self-Defeat: Shifting the Narrative of the Climate Debate,/news/averting-self-defeat-shifting-narrative-climate-debate,YES,ARGUMENT,02042020,02,04,2020,Romana Březovská,Michal Bokša,,,,Produced for Digital,Romana Březovská,Michal Bokša,,,Global Commons,,,
Mexico’s Strategic Confusion,/news/mexicos-strategic-confusion,YES,ARGUMENT,01272020,01,27,2020,Andrew Rennemo,,,,,Produced for Digital,Andrew Rennemo,,,,Americas,North America,,
City Diplomacy in Central Europe,/news/city-diplomacy-central-europe,YES,ARGUMENT,01232020,01,23,2020,Chris Riehl,,,,,Produced for Digital,Chris Riehl,,,,Europe,Central Europe,,
Emerging Frameworks of Renewable Geopolitics,/news/emerging-frameworks-renewable-geopolitics,YES,ARGUMENT,01042020,01,04,2020,Corissa Steiner,,,,,Produced for Digital,Corissa Steiner,,,,Global Commons,,,
Has the U.S.-Saudi Relationship Reached Its Breaking Point?,/news/has-us-saudi-relationship-reached-its-breaking-point,YES,ARGUMENT,01032020,01,03,2020,Benjamin Moore,,,,,Produced for Digital,Benjamin Moore,,,,Americas,North America,Middle East,
"Political Reform in Algeria is a Marathon, Not a Sprint: An Analysis of Algeria’s Upcoming Presidential Election",/news/political-reform-algeria-marathon-not-sprint-analysis-algerias-upcoming-presidential-election,YES,ARGUMENT,12112019,12,11,2019,,,,,,Produced for Digital,,,,,Africa,North Africa,,
Digital Trust is Essential for Data Privacy Protection,/news/digital-trust-essential-data-privacy-protection,YES,COMMENT,12082019,12,08,2019,Stuart N. Brotman,,,,,Produced for Digital,Stuart N. Brotman,,,,Global Commons,,,
"Tech War, Faux War: Exaggerated Claims to U.S.-China Technological Competition",/news/tech-war-faux-war-exaggerated-claims-us-china-technological-competition,YES,COMMENT,12072019,12,07,2019,Johanna M. Costigan,,,,,Produced for Digital,Johanna M. Costigan,,,,Americas,North America,Asia,North Asia
Cloaking Strategic Interests in Morality: How Turkey Discredits Armed Humanitarianism,/news/cloaking-strategic-interests-morality-how-turkey-discredits-armed-humanitarianism,YES,ARGUMENT,11242019,11,24,2019,Oana-Cosmina Mihalache,,,,,Produced for Digital,Oana-Cosmina Mihalache,,,,Europe,Eastern Europe,,
Sayed Bukhari on the Future of Pakistan and its Overseas Diaspora,/news/sayed-bukhari-future-pakistan-and-its-overseas-diaspora,YES,ARGUMENT,10272019,10,27,2019,Sayed Zulfikar Abbas Bukhari,,,,,Produced for Digital,Sayed Zulfikar Abbas Bukhari,,,,Asia,South Asia,,
Can remain voters influence the Brexit deal?,/news/can-remain-voters-influence-brexit-deal,YES,ARGUMENT,10192019,10,19,2019,Carla Cabrera Cuadrado,,,,,Produced for Digital,Carla Cabrera Cuadrado,,,,Europe,United Kingdom and Ireland,,
Trump’s Disregard for Diplomacy,/news/trumps-disregard-diplomacy,YES,COMMENT,10102019,10,10,2019,Benjamin Moore,,,,,Produced for Digital,Benjamin Moore,,,,Americas,North America,,
"Ending Pandemics: US Foreign Policy to Mitigate Today's Major Killers, Tomorrow's Outbreaks, and the Health Impacts of Climate Change",/news/ending-pandemics-us-foreign-policy-mitigate-todays-major-killers-tomorrows-outbreaks-and,YES,ESSAY,10102019,10,10,2019,Matthew M. Kavanagh,Harsha Thirumurthy,Rebecca Katz,"Kristie L. Ebi, Chris Beyrer, Jamila Headley, Charles B. Holmes, Chris Collins, Lawrence O. Gostin",,Produced for Digital,Matthew M. Kavanagh,Harsha Thirumurthy,Rebecca Katz,"Kristie L. Ebi, Chris Beyrer, Jamila Headley, Charles B. Holmes, Chris Collins, Lawrence O. Gostin",Americas,North America,Global Commons,
Chinese-Russian Joint Military Adventurism in the Pacific,/news/chinese-russian-joint-military-adventurism-pacific,YES,COMMENT,09152019,09,15,2019,Bahauddin Foizee,,,,,Produced for Digital,Bahauddin Foizee,,,,Asia,North Asia,South East Asia,
Repetition = Resistance,/news/repetition-resistance,YES,COMMENT,09132019,09,13,2019,Saumya Deva,,,,,Adapted from Print Issue,Saumya Deva,,,,Middle East,,,
Letter From the Editors,/news/letter-editors-3,YES,GENERAL,02112020,02,11,2020,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,,,,
Letter From the Dean,/news/letter-dean-0,YES,GENERAL,02112020,02,11,2020,Merit E. Janow,,,,,Adapted from Print Issue,Merit E. Janow,,,,,,,
"Shattering the Highest and Hardest Glass Ceiling, Once and For All: How the 2020 Election Can Change Governance in the U.S. and Beyond",/news/shattering-highest-and-hardest-glass-ceiling-once-and-all-how-2020-election-can-change,YES,ARGUMENT,09112019,09,11,2019,Jasneet Hora,,,,,Adapted from Print Issue,Jasneet Hora,,,,Americas,United States,,
Gender Identities in Conflict,/news/gender-identities-conflict,YES,COMMENT,09112019,09,11,2019,Nimmi Gowrinathan,,,,,Adapted from Print Issue,Nimmi Gowrinathan,,,,Global Commons,,,
"Critical Perspectives on ""Governance Feminism""",/news/critical-perspectives-governance-feminism,YES,ARGUMENT,09112019,09,11,2019,Eugenia McGill,,,,,Adapted from Print Issue,Eugenia McGill,,,,Global Commons,,,
When Women Stand Together As One: The Power of Women's Grassroots Peace Movements,/news/when-women-stand-together-one-power-womens-grassroots-peace-movements,YES,ARGUMENT,09112019,09,11,2019,Leymah Gbowee,,,,,Adapted from Print Issue,Leymah Gbowee,,,,Global Commons,,,
"Feminism, Peace, and Afghanistan",/news/feminism-peace-and-afghanistan,YES,ESSAY,09112019,09,11,2019,Sima Samar,,,,,Adapted from Print Issue,Sima Samar,,,,Middle East,,,
Take Back the Future: Global Feminisms and the Coming Crisis of the Beijing Settlement,/news/take-back-future-global-feminisms-and-coming-crisis-beijing-settlement,YES,ESSAY,09102019,09,10,2019,Yasmine Ergas,,,,,Adapted from Print Issue,Yasmine Ergas,,,,Global Commons,Asia,North Asia,
Table of Contents,/news/table-contents-3,YES,GENERAL,02112020,02,11,2020,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,,,,
Environmental and Social Risk Management in India,/news/environmental-and-social-risk-management-india,YES,ARGUMENT,09092019,09,09,2019,Mahima Achuthan,,,,,Produced for Digital,Mahima Achuthan,,,,Asia,South Asia,,
The Common Enemy: How the Rhetoric of Fear is Subverting Democracies,/news/common-enemy-how-rhetoric-fear-subverting-democracies,YES,ARGUMENT,08252019,08,25,2019,,,,,,Produced for Digital,,,,,Global Commons,,,
Are US-Pakistan Relations Improving?,/news/are-us-pakistan-relations-improving,YES,COMMENT,08112019,08,11,2019,Hizbullah Khan,,,,,Produced for Digital,Hizbullah Khan,,,,Americas,North America,Asia,South Asia
Morocco's Contemporary Diplomacy as a Middle Power,/news/moroccos-contemporary-diplomacy-middle-power,YES,ARGUMENT,08102019,08,10,2019,Amine Bennis,,,,,Produced for Digital,Amine Bennis,,,,Africa,North Africa,,
The Evolving Role of Business in Society: Toward a Sustainable Development Consensus,/news/evolving-role-business-society-toward-sustainable-development-consensus,YES,COMMENT,07242019,07,24,2019,Mahmoud Mohieldin,Svetlana Klimenko,,,,Produced for Digital,Mahmoud Mohieldin,Svetlana Klimenko,,,Global Commons,,,
Trump’s Twitter Engagement with North Korea: A Public Diplomacy Perspective,/news/trumps-twitter-engagement-north-korea-public-diplomacy-perspective,YES,COMMENT,07192019,07,19,2019,Muhsin Puthan Purayil,,,,,Produced for Digital,Muhsin Puthan Purayil,,,,Americas,North America,Asia,East Asia
Are sanctions stopping us from achieving global climate goals?,/news/are-sanctions-stopping-us-achieving-global-climate-goals,YES,COMMENT,07112019,07,11,2019,Alexander Rustler,,,,,Produced for Digital,Alexander Rustler,,,,Global Commons,Middle East,,
"From the Archives: To A British Friend, Are You In Europe?",/news/archives-british-friend-are-you-europe,YES,ESSAY,06242019,06,24,2019,René Albrecht-Carrié,,,,,Produced for Digital,René Albrecht-Carrié,,,,Europe,United Kingdom and Ireland,,
Brexit Matters for the United States,/news/brexit-matters-united-states,YES,COMMENT,06212019,06,21,2019,Desmond Lachman,,,,,Produced for Digital,Desmond Lachman,,,,Europe,United Kingdom and Ireland,Americas,North America
Frozen Conflicts and Federalization: Russian Policy in Transnistria and Donbass,/news/frozen-conflicts-and-federalization-russian-policy-transnistria-and-donbass,YES,ARGUMENT,05222019,05,22,2019,Diana Dascalu,,,,,Produced for Digital,Diana Dascalu,,,,Europe,Eastern Europe,Asia,North Asia
Greening Monetary Policy: Central Banks in the Fight Against Climate Change,/news/greening-monetary-policy-central-banks-fight-against-climate-change,YES,COMMENT,05162019,05,16,2019,Alexander Rustler,,,,,,Alexander Rustler,,,,Global Commons,,,
"Communal Violence, Social Media, and Elections in India",/news/communal-violence-social-media-and-elections-india,YES,ARGUMENT,04192019,04,19,2019,Claire Teitelman,,,,,Produced for Digital,Claire Teitelman,,,,Asia,South Asia,,
Making Sense of the Brexit Mess,/news/making-sense-brexit-mess,YES,ARGUMENT,04092019,04,09,2019,Tim Oliver,,,,,Produced for Digital,Tim Oliver,,,,Europe,United Kingdom and Ireland,,
A Wall in Cyberspace,/news/wall-cyberspace,YES,ARGUMENT,04092019,04,09,2019,Matthew Flynn,,,,,Produced for Digital,Matthew Flynn,,,,Global Commons,,,
Eric Biel on the Future of Work,/news/eric-biel-future-work,YES,ARGUMENT,04042019,04,04,2019,JIA Editorial Board,,,,,Produced for Digital,JIA Editorial Board,,,,Global Commons,,,
From the Archives: Britain's Imperative,/news/archives-britains-imperative,YES,ESSAY,04012019,04,01,2019,Anthony Nutting,,,,,Produced for Digital,Anthony Nutting,,,,Europe,United Kingdom and Ireland,,
The Global Gag Rule and Closing Civil Society Space for Sexual and Reproductive Rights,/news/global-gag-rule-and-closing-civil-society-space-sexual-and-reproductive-rights,YES,ARGUMENT,03072019,03,07,2019,Marta Schaaf,Emily Maistrellis,Terry McGovern,Latanya Mapp Frett,,Produced for Digital,Marta Schaaf,Emily Maistrellis,Terry McGovern,Latanya Mapp Frett,Global Commons,,,
Be Wary of American Interest in Venezuela,/news/be-wary-american-interest-venezuela,YES,COMMENT,02102019,02,10,2019,Benjamin Moore,,,,,Produced for Digital,Benjamin Moore,,,,Americas,North America,South America,
Expert Interviews on the Fourth Industrial Revolution,/news/expert-interviews-fourth-industrial-revolution,YES,FEATURE,02082019,02,08,2019,,,,,,Produced for Digital,,,,,Global Commons,,,
The Empire Strikes Back: Post-Brexit Britain’s Return to East of Suez,/news/empire-strikes-back-post-brexit-britains-return-east-suez,YES,ARGUMENT,02082019,02,08,2019,Yicheng Zhang,,,,,Produced for Digital,Yicheng Zhang,,,,Europe,United Kingdom and Ireland,Asia,Middle East
Building Trust In Artificial Intelligence,/news/building-trust-artificial-intelligence,YES,ARGUMENT,02062019,02,06,2019,Francesca Rossi,,,,,Adapted from Print Issue,Francesca Rossi,,,,Global Commons,,,
The Fourth Industrial Revolution and Global Peace and Security,/news/fourth-industrial-revolution-and-global-peace-and-security,YES,ARGUMENT,01312019,01,31,2019,Izumi Nakamitsu,,,,,Produced for Digital,Izumi Nakamitsu,,,,Global Commons,,,
LAUNCH EVENT: The Fourth Industrial Revolution on 4 Feb 2019,/news/launch-event-fourth-industrial-revolution-4-feb-2019,YES,GENERAL,01312019,01,31,2019,JIA Editorial Board,,,,,Produced for Digital,JIA Editorial Board,,,,,,,
Correctly Valuing the Work of the Future,/news/correctly-valuing-work-future,YES,ESSAY,01262019,01,26,2019,Guy Ryder,,,,,Adapted from Print Issue,Guy Ryder,,,,Global Commons,,,
Outsourcing Diplomacy: The Necessity of Unofficial Talks,/news/outsourcing-diplomacy-necessity-unofficial-talks,YES,ARGUMENT,01262019,01,26,2019,Cristian Tracci,,,,,Produced for Digital,Cristian Tracci,,,,Global Commons,,,
On the Lack of Theory in Africa-China Analysis,/news/lack-theory-africa-china-analysis,YES,COMMENT,01242019,01,24,2019,Bhaso Ndzendze,,,,,Produced for Digital,Bhaso Ndzendze,,,,Africa,Asia,North Asia,
A Gender Lens on The Future of Work,/news/gender-lens-future-work,YES,ESSAY,01222019,01,22,2019,Jill Rubery,,,,,Adapted from Print Issue,Jill Rubery,,,,Global Commons,,,
The Fourth Industrial Revolution: Shaping A New Era,/news/fourth-industrial-revolution-shaping-new-era,YES,ARGUMENT,01222019,01,22,2019,Thomas Philbeck,Nicholas Davis,,,,Adapted from Print Issue,Thomas Philbeck,Nicholas Davis,,,Global Commons,,,
Foreword,/news/foreword-0,YES,ARGUMENT,01222019,01,22,2019,Klaus Schwab,,,,,Adapted from Print Issue,Klaus Schwab,,,,Global Commons,,,
Table of Contents,/news/table-contents-2,YES,GENERAL,02112020,02,11,2020,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,,,,
We Need a Brand New Architecture To Cover The Whole Scope of Mobility,/news/we-need-brand-new-architecture-cover-whole-scope-mobility,YES,ARGUMENT,12202018,12,20,2018,Michael Doyle,,,,,Adapted from Print Issue,Michael Doyle,,,,Global Commons,,,
Space Provides The Required Magnitude of Perspective. It Unites Us Towards Common Goals,/news/space-provides-required-magnitude-perspective-it-unites-us-towards-common-goals,YES,ARGUMENT,12202018,12,20,2018,Simonetta Di Pippo,,,,,Adapted from Print Issue,Simonetta Di Pippo,,,,Global Commons,,,
Advancing Human-Rights-By-Design In The Dual-Use Technology Industry,/news/advancing-human-rights-design-dual-use-technology-industry,YES,ARGUMENT,12202018,12,20,2018,Jonathon Penney,Sarah McKune,Lex Gill,Ronald J. Deibert,,Adapted from Print Issue,Jonathon Penney,Sarah McKune,Lex Gill,Ronald J. Deibert,Global Commons,,,
The Ungovernability of Digital Hate Culture,/news/ungovernability-digital-hate-culture,YES,ESSAY,12192018,12,19,2018,Bharath Ganesh,,,,,Adapted from Print Issue,Bharath Ganesh,,,,Global Commons,,,
Table of Contents,/news/table-contents-1,YES,GENERAL,02112020,02,11,2020,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,,,,
From the Archives: The Dangerous Rise of Populism - Global Attacks on Human Rights Values,/news/archives-dangerous-rise-populism-global-attacks-human-rights-values,YES,ARGUMENT,12102018,12,10,2018,Kenneth Roth,,,,,Produced for Digital,Kenneth Roth,,,,Global Commons,,,
A hammer in search of a nail: EU sanctions and the cyber domain,/news/hammer-search-nail-eu-sanctions-and-cyber-domain,YES,ESSAY,12062018,12,06,2018,Stefan Soesanto,,,,,Produced for Digital,Stefan Soesanto,,,,Europe,,,
China’s Arms Sales Philosophy in the Arab World,/news/chinas-arms-sales-philosophy-arab-world,YES,ARGUMENT,12032018,12,03,2018,Latifa A. Al Saud,,,,,Produced for Digital,Latifa A. Al Saud,,,,Asia,North Asia,Europe,
"The Job Terminator? Automation, Artificial Intelligence and the Future of Work",/news/job-terminator-automation-artificial-intelligence-and-future-work,YES,ARGUMENT,11302018,11,30,2018,Francisco L. Rivera-Batiz,,,,,Produced for Digital,Francisco L. Rivera-Batiz,,,,Global Commons,,,
The G20 in a Zero-Sum World,/news/g20-zero-sum-world,YES,ARGUMENT,11282018,11,28,2018,Roland Rajah,,,,,Produced for Digital,Roland Rajah,,,,Global Commons,,,
South Korea’s Options amidst a US-China Trade War: Opportunities and Risks,/news/south-koreas-options-amidst-us-china-trade-war-opportunities-and-risks,YES,ARGUMENT,11192018,11,19,2018,Seunghyun Han,,,,,Produced for Digital,Seunghyun Han,,,,Asia,North Asia,East Asia,Americas
From the Archives: The Geopolitics of People Power: The Pursuit of the Nation-State in East Central Europe,/news/archives-geopolitics-people-power-pursuit-nation-state-east-central-europe,YES,ESSAY,11162018,11,16,2018,Raymond Pearson,,,,,Adapted from Print Issue,Raymond Pearson,,,,Europe,Eastern Europe,Central Europe,
Sino-US Relations at a Crossroads: Shandong’s Importance at the Centenary of World War I,/news/sino-us-relations-crossroads-shandongs-importance-centenary-world-war-i,YES,ARGUMENT,11142018,11,14,2018,Vasilis Trigkas,,,,,Produced for Digital,Vasilis Trigkas,,,,,,,
Russia’s Mission,/news/russias-mission,YES,ARGUMENT,11142018,11,14,2018,Nicolai N. Petro,,,,,Produced for Digital,Nicolai N. Petro,,,,Asia,North Asia,Europe,Eastern Europe
From Berlin to Moscow,/news/berlin-moscow,YES,ESSAY,11132018,11,13,2018,René Albrecht-Carrié,,,,,Adapted from Print Issue,René Albrecht-Carrié,,,,Europe,Eastern Europe,Western Europe,
From World War I to Cold War II,/news/world-war-i-cold-war-ii,YES,COMMENT,11112018,11,11,2018,Richard K. Betts,,,,,Produced for Digital,Richard K. Betts,,,,Global Commons,,,
The Balance of Global Public and Private Power: A Tale of Two Worlds,/news/balance-global-public-and-private-power-tale-two-worlds,YES,ESSAY,11082018,11,08,2018,John Gerard Ruggie,,,,,Produced for Digital,John Gerard Ruggie,,,,Global Commons,,,
Is the West Pushing Moscow Toward Beijing's Arms?,/news/west-pushing-moscow-toward-beijings-arms,YES,ARGUMENT,10302018,10,30,2018,Ernesto Gallo,Bruno Sergi,,,,Produced for Digital,Ernesto Gallo,Bruno Sergi,,,Americas,Asia,North Asia,Europe
From the Archives: Access For All - The Future for Afghanistan,/news/archives-access-all-future-afghanistan,YES,ESSAY,10252018,10,25,2018,Shaharzad Akbar,,,,,Produced for Digital,Shaharzad Akbar,,,,Middle East,,,
Orthodox Schism Reveals Political Dynamics in Russia and Ukraine,/news/orthodox-schism-reveals-political-dynamics-russia-and-ukraine,YES,COMMENT,10242018,10,24,2018,Amy Fallas,,,,,Produced for Digital,Amy Fallas,,,,Europe,Eastern Europe,Asia,North Asia
From the Archives: An Interview with Lakhdar Brahimi,/news/archives-interview-lakhdar-brahimi,YES,FEATURE,10232018,10,23,2018,Mary Sack,Cyrus Samii,,,,Produced for Digital,Mary Sack,Cyrus Samii,,,Middle East,Global Commons,,
"Risking Democracy in Afghanistan: Voting, Violence, and the Struggle for Parliament",/news/risking-democracy-afghanistan-voting-violence-and-struggle-parliament,YES,ARGUMENT,10192018,10,19,2018,Robert D. Crews,,,,,Produced for Digital,Robert D. Crews,,,,Middle East,,,
From the Archives: Post-Cold War State Disintegration: The Failure of International Conflict Resolution in Afghanistan,/news/archives-post-cold-war-state-disintegration-failure-international-conflict-resolution,YES,ESSAY,10182018,10,18,2018,Barnett R. Rubin,,,,,Produced for Digital,Barnett R. Rubin,,,,Middle East,,,
U.S. Foreign Policy: From the Force of Politics to the Politics of Force,/news/us-foreign-policy-force-politics-politics-force,YES,ARGUMENT,10112018,10,11,2018,Michal Bokša,Caitlyn Hendricks-Costello,,,,Produced for Digital,Michal Bokša,Caitlyn Hendricks-Costello,,,Americas,North America,,
Trouble in Paradise: Oscar Temaru on Nuclear Testing and Independence Aspirations,/news/trouble-paradise-oscar-temaru-nuclear-testing-and-independence-aspirations,YES,ARGUMENT,10102018,10,10,2018,Oscar Temaru,,,,,Produced for Digital,Oscar Temaru,,,,Oceania,,,
Brazil En Route to Authoritarianism Following First Round of Elections,/news/brazil-en-route-authoritarianism-following-first-round-elections,YES,COMMENT,10102018,10,10,2018,Rogerio Schlegel,,,,,Produced for Digital,Rogerio Schlegel,,,,Americas,South America,,
Brazil's Sisyphean Election,/news/brazils-sisyphean-election,YES,COMMENT,10072018,10,07,2018,Andre Pagliarini,,,,,Produced for Digital,Andre Pagliarini,,,,Americas,South America,,
From the Archives: Regional Tendencies Rooted In Challenges Of The Past,/news/archives-regional-tendencies-rooted-challenges-past,YES,ARGUMENT,10062018,10,06,2018,JIA Editorial Board,,,,,Produced for Digital,JIA Editorial Board,,,,Global Commons,,,
From the Archives: New Directions For A More Prosperous Brazil,/news/archives-new-directions-more-prosperous-brazil,YES,ESSAY,10062018,10,06,2018,Thomas J. Trebat,,,,,Produced for Digital,Thomas J. Trebat,,,,Americas,South America,,
From the Archives: An Interview with Fernando Henrique Cardoso,/news/archives-interview-fernando-henrique-cardoso,YES,FEATURE,10042018,10,04,2018,Sara Regine Hassett,Christine Weyd,,,,Adapted from Print Issue,Sara Regine Hassett,Christine Weyd,,,Americas,South America,,
LAUNCH EVENT: Special Issue on Disinformation and Contentious Narratives,/news/launch-event-special-issue-disinformation-and-contentious-narratives,YES,ARGUMENT,09292018,09,29,2018,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,Global Commons,,,
From the Archives: The Special Issue,/news/archives-special-issue,YES,ESSAY,09262018,09,26,2018,Saul K. Padover,,,,,Produced for Digital,Saul K. Padover,,,,Global Commons,,,
The EU's Crisis Diplomacy In Ukraine: The Matrix of Possibilities,/news/eus-crisis-diplomacy-ukraine-matrix-possibilities,YES,ARGUMENT,09262018,09,26,2018,Natalia Chaban,Ben O'Loughlin,,,,Adapted from Print Issue,Natalia Chaban,Ben O'Loughlin,,,Europe,Eastern Europe,,
