Displayed Name,First Name,Last Name,Role,Time,Group,Personal Statement / Summary (optional)
Kelsey L. Campbell,Kelsey L.,Campbell,,Alumni,Editorial Board,Editorial Assistant for Vol 63.2 Rethinking Russia and Vol 63.1 Pakistan & Afghanistan
Kelton,Kelton,Kelton,,Alumni,Editorial Board,Editorial Assistant for Vol 68.1 Breaking Point: Protests and Revoluions
Kenneth Azael Ayala,Kenneth Azael,Ayala,,Alumni,Editorial Board,Editorial Assistant for Vol 68.1 Breaking Point: Protests and Revoluions
Kenneth B. Wallach,Kenneth B.,Wallach,,Alumni,Editorial Board,"Editorial Assistant for Vol 23.2 National Politics and Foreign Policy
Associate Editor (Advertising) for Vol 24.2 International Economic Development in the 1970s and Vol 24.1 Leadership"
Key K. Kobayashi,Key K.,Kobayashi,,Alumni,Editorial Board,Editorial Assistant for Vol 5.1 American Foreign Policy
Kim J. Andreasson,Kim J.,Andreasson,,Alumni,Editorial Board,Editorial Assistant for Vol 55.1 Children and Vol 54.2 Rogue States
Kimberly J. Bohnet,Kimberly J.,Bohnet,,Alumni,Editorial Board,Editorial Assistant for Vol 62.1 Global Finance and Vol 61.2 Water
Kirkham,,Kirkham,,Alumni,Editorial Board,Editorial Assistant for Vol 49.1 Continuity and Transformation and Vol 48.2 Transcending National Boundaries
Kishan K. Nair,Kishan K.,Nair,,Alumni,Editorial Board,Editorial Assistant for Vol 55.1 Children and Vol 54.2 Rogue States
Kristi K. Bahrenburg,Kristi K.,Bahrenburg,,Alumni,Editorial Board,"Associate Editor for Vol 46.2 Keeping the Peace
Issue Editor for Vol 47.1 The Power of the Media in the Global System"
Kun-Hsi Lu,Kun-Hsi,Lu,,Alumni,Editorial Board,Editorial Assistant for Vol 7.1 The Refugee in World Affairs
Kye Mesa Barnard,Kye Mesa,Barnard,,Alumni,Editorial Board,Editorial Assistant for Vol 61.2 Water
Kyu Ha Lim,Kyu Ha,Lim,,Alumni,Editorial Board,Editorial Assistant for Vol 60.1 Historical Reconciliation
L. Candan Göksenin,L. Candan,Göksenin,,Alumni,Editorial Board,Editorial Assistant for Vol 31.2 The Future World Order
Lammot Du Pont,Lammot,Du Pont,,Alumni,Editorial Board,Editorial Assistant for Vol 46.2 Keeping the Peace
Larcus N. Pickett,Larcus N.,Pickett,,Alumni,Editorial Board,Editorial Assistant for Vol 65.1 Inside the Authoritarian State
Lauren D. Klein,Lauren D.,Klein,,Alumni,Editorial Board,Editorial Assistant for Vol 62.1 Global Finance
Lawrence F. Zant,Lawrence F.,Zant,,Alumni,Editorial Board,"Lawrence F. Zant was interviewed by the Journal for Print issue Vol 5.2 Propaganda in World Politics published in 1951-52
Editorial Assistant for Vol 4.2 The Advancement of Underdeveloped Areas"
Lawton,,Lawton,,Alumni,Editorial Board,Editorial Assistant for Vol 48.1 Contemporary Issues in World Trade and Vol 47.2 Refugees and International Population Flows
Lea Von Martius,Lea,Von Martius,,Alumni,Editorial Board,Features Editor for Vol 72.2 Dynamics of Global Feminism and Vol 72.1 The Fourth Industrial Revolution
Lee Catherine Booker,Lee Catherine,Booker,,Alumni,Editorial Board,"Editorial Assistant for Vol 65.1 Inside the Authoritarian State, Vol 65.2 The Future of the City, Vol 66.1 Transnational Organized Crime and Vol 66.2 The Rise of Latin America

Lee Catherine Booker is a second-year dual-degree master’s candidate of Columbia University’s School of International and Public Affairs and the Fundação Getulio Vargas School of Business Administration in São Paulo, Brasil."
Len A. Costa,Len A.,Costa,,Alumni,Editorial Board,"Senior Editor (First Issue) for Vol 52.1 The Multiple Faces of World Poverty
Senior Editor for Vol 51.2 Technology and International Policy"
Leo O. Tidd,Leo O.,Tidd,,Alumni,Editorial Board,Editorial Assistant for Vol 59.1 The Politics of the Sea
Leonard J. Baldyga,Leonard J.,Baldyga,,Alumni,Editorial Board,"Editorial Assistant for Vol 15.2 Ideology
Advertising Manager for Vol 16.2 Nation-Building and Vol 16.1 Western Europe"
Leonard V. Smith,Leonard V.,Smith,,Alumni,Editorial Board,Editorial Assistant for Vol 35.1 International Underground Economic Systems
Lesli Proffitt Nordström,Lesli Proffitt,Nordström,,Alumni,Editorial Board,"Editorial Assistant Vol 62.1 Global Finance and Vol 62.2 Africa in the 21st Century
Production Assistant for Vol 62.2 Africa in the 21st Century
Senior Editor (Spring) for Vol 63.2 Rethinking Russia and Vol 63.1 Pakistan & Afghanistan
"
Lewis C. Austin,Lewis C.,Austin,,Alumni,Editorial Board,"Associate Editor (Book Reviews) for Vol 17.2 The Asian Triangle
Literary Editor for Vol 17.1 Diplomacy in Transition"
Li Hsien Lim,Li Hsien,Lim,,Alumni,Editorial Board,Editorial Assistant for Vol 52.2 Seeking Institutional Justice
Lia Carolina O. De Barros,Lia Carolina O.,De Barros,,Alumni,Editorial Board,Editorial Assistant for Vol 62.2 Africa in the 21st Century
Lilli De Brito,Lilli,De Brito,,Alumni,Editorial Board,"Editorial Assistant for Vol 43.1 U.S. Alliance Management Toward the Year 2000 and Vol 42.2 Gorbachev's Era of New Thinking
Subscriber Relations Director for Vol 44.1 Theory, Values and Practice in International Relations and Vol 43.2 Mexico: Tradition and Transition"
Lillian J. Habeich,Lillian J.,Habeich,,Alumni,Editorial Board,Business Manager for Vol 51.1 South Asia and Vol 50.2 Privatization
Lillith K. M. Coto,Lillith K. M.,Coto,,Alumni,Editorial Board,Editorial Assistant for Vol 61.2 Water and Vol 61.1 Religion & Statecraft
Lillith Karen Coto,Lillith Karen,Coto,,Alumni,Editorial Board,Editorial Assistant for Vol 62.2 Africa in the 21st Century
Linda B. Miller,Linda B.,Miller,,Alumni,Editorial Board,Editorial Assistant for Vol 14.1 A New Balance of Power?
Linda J. Kaphan,Linda J.,Kaphan,,Alumni,Editorial Board,Circulation Manager for Vol 23.1 Political Conflict
Linda Jean Linder,Linda Jean,Linder,,Alumni,Editorial Board,"Circulation Manager for Vol 23.2 National Politics and Foreign Policy and Vol 24.1 Leadership
Editorial Assistant for Vol 24.2 International Economic Development in the 1970s"
Lissette Bernal Verbel,Lissette Bernal,Verbel,,Alumni,Editorial Board,Editorial Assistant for Vol 51.1 South Asia and Vol 50.2 Privatization
Louis Tyrrell Levine,Louis Tyrrell,Levine,,Alumni,Editorial Board,Editorial Assistant for Vol 51.1 South Asia and Vol 50.2 Privatization
Louise G. Legouit,Louise G.,Legouit,,Alumni,Editorial Board,Editorial Assistant for Vol 41.2 Europe
Lucila Del Aguila,Lucila,Del Aguila,,Alumni,Editorial Board,"Editorial Assistant for Vol 51.2 Technology and International Policy, Vol 52.1 The Multiple Faces of World Poverty and Vol 52.2 Seeking Institutional Justice"
Lydia Vera Tomkiw,Lydia Vera,Tomkiw,,Alumni,Editorial Board,Editorial Assistant for Vol 67.2 Global Food Security
Lyle J. Morris,Lyle J.,Morris,,Alumni,Editorial Board,Editorial Assistant for Vol 62.2 Africa in the 21st Century
Lynn F. Lee,Lynn F.,Lee,,Alumni,Editorial Board,Associate Editor for Vol 11.2 Communist China in World Politics and Vol 11.1 East Central Europe
Lyon H. Fisher,Lyon H.,Fisher,,Alumni,Editorial Board,Editorial Assistant for Vol 18.1 Statesmen and Succession
Lyra Porras Garzon,Lyra Porras,Garzon,,Alumni,Editorial Board,Editorial Assistant for Vol 58.2 Financing Development and Vol 58.1 State Building
M. Christopher Garman,M. Christopher,Garman,,Alumni,Editorial Board,"Editorial Assistant for Vol 47.1 The Power of the Media in the Global System and Vol 46.2 Keeping the Peace
Marketing and Advertising Director for Vol 48.1 Contemporary Issues in World Trade and Vol 47.2 Refugees and International Population Flows"
M. F. Broudo,M. F.,Broudo,,Alumni,Editorial Board,"Editorial Assistant for Vol 48.1 Contemporary Issues in World Trade
Editorial Assistant Director for Vol 49.1 Continuity and Transformation and Vol 48.2 Transcending National Boundaries"
M. J. Peterson,M. J.,Peterson,,Alumni,Editorial Board,Editorial Assistant for Vol 26.2 Micropolitics and Vol 26.1 The Military-Industrial Complex
M. Kathleen Tedesco,M. Kathleen,Tedesco,,Alumni,Editorial Board,"Editorial Assistant for Vol 48.1 Contemporary Issues in World Trade and Vol 47.2 Refugees and International Population Flows
Editor-in Chief for Vol 49.1 Continuity and Transformation and Vol 48.2 Transcending National Boundaries"
Madeleine A. Adler,Madeleine A.,Adler,,Alumni,Editorial Board,Editorial Assistant for Vol 14.1 A New Balance of Power?
Maheen Saleem Farooqi,Maheen Saleem,Farooqi,,Alumni,Editorial Board,Editorial Assistant for Vol 63.2 Rethinking Russia
Maike Von Heymann,Maike,Von Heymann,,Alumni,Editorial Board,Editorial Assistant for Vol 60.1 Historical Reconciliation
Malin M. E. Meyer,Malin M. E.,Meyer,,Alumni,Editorial Board,Editorial Assistant for Vol 68.2 Migration
Manyun Grace Zhu,Manyun Grace,Zhu,,Alumni,Editorial Board,Editorial Assistant for Vol 67.1 The Gender Issue
Marc Henri Brillon,Marc Henri,Brillon,,Alumni,Editorial Board,"Editorial Assistant for Vol 37.2 The Politics of International Law
Marc Henri Brillon wrote the winning Andrew Wellington Cordier Student Essay Contest essay for Vol 37.2 The Politics of International Law published in 1983-84"
Marc Jay Selverstone,Marc Jay,Selverstone,,Alumni,Editorial Board,Managing Editor for Vol 46.1 Sub-Saharan Africa and Vol 45.2 Rethinking Nationalism and Sovereignty
Marc K. Dominianni,Marc K.,Dominianni,,Alumni,Editorial Board,Editorial Assistant for Vol 70.1 The Cyber Issue
Marc M. Wall,Marc M.,Wall,,Alumni,Editorial Board,"Editor-in-chief for Vol 28.1 World Trade and United States Foreign Policy, Vol 28.2 Communism and Détente, Vol 29.2 Power in the Third World and Vol 29.1 An Era of Negotiations"
Margaret Van Der Pool,Margaret,Van Der Pool,,Alumni,Editorial Board,"Issue Editor for Vol 49.1 Continuity and Transformation
Second Issue Editor for Vol 48.2 Transcending National Boundaries
Editorial Assistant for Vol 48.1 Contemporary Issues in World Trade and Vol 47.2 Refugees and International Population Flows"
Mari Anne Ryan Go,Mari Anne Ryan,Go,,Alumni,Editorial Board,"Editorial Assistant for Vol 54.2 Rogue States
Contributed to Issue Vol 55.1 Children and Vol 54.2 Rogue States"
Maria Alessandra Smith,Maria Alessandra,Smith,,Alumni,Editorial Board,Editorial Assistant for Vol 57.1 Governance and Vol 56.2 Central Asia
Maria Alexandra Van,Maria Alexandra,Van,,Alumni,Editorial Board,Editorial Assistant for Vol 68.1 Breaking Point: Protests and Revoluions
Maria J. Chea,Maria,Chea,,Alumni,Editorial Board,"Editorial Assistant for Vol 67.2 Global Food Security
Production Director Vol 68.1 Breaking Point: Protests and Revoluions and Vol 68.2 Migration
Production Assistant for Vol 67.1 The Gender Issue"
Maria Jessa Cruz,Maria Jessa,Cruz,,Alumni,Editorial Board,Production Assistant for Vol 67.1 The Gender Issue
Maria Jose Chea,Maria Jose,Chea,,Alumni,Editorial Board,"Editorial Assistant for Vol 67.2 Global Food Security
Production Director Vol 68.1 Breaking Point: Protests and Revoluions and Vol 68.2 Migration
Production Assistant for Vol 67.1 The Gender Issue"
Maria Martinez Romero,Maria Martinez,Romero,,Alumni,Editorial Board,"Features Editor for Vol 71.1 Democracy, Vol 71.1.5 Contentious Narratives and Vol 71.2 Ungoverned Spaces"
Maria Mjöll Jónsdottir,Maria Mjöll,Jónsdottir,,Alumni,Editorial Board,Editorial Assistant for Vol 58.2 Financing Development and Vol 58.1 State Building
Maria Morris Fadlelmula,Maria Morris,Fadlelmula,,Alumni,Editorial Board,"Second Issue Editor for Vol 50.1 Religion
Editorial Assistant for Vol 48.2 Transcending National Boundaries"
Maria Ul Mulk,Maria Ul,Mulk,,Alumni,Editorial Board,Editorial Assistant for Vol 68.2 Migration
Maria V. Holub,Maria V.,Holub,,Alumni,Editorial Board,Editorial Assistant for Vol 4.2 The Advancement of Underdeveloped Areas
Mariam R. Vadria,Mariam R.,Vadria,,Alumni,Editorial Board,Editorial Assistant for Vol 68.2 Migration
Mariana Quevedo Vallejo,Mariana Quevedo,Vallejo,,Alumni,Editorial Board,"Editorial Assistant for Vol 67.2 Global Food Security and Vol 67.1 The Gender Issue
Marketing Director for Vol 68.2 Migration and Vol 68.1 Breaking Point: Protests and Revoluions"
Maricar Del Rosario Tinio,Maricar Del Rosario,Tinio,,Alumni,Editorial Board,Editorial Assistant for Vol 53.2 Shadow Economies
Maricar Tinio Polotaye,Maricar Tinio,Polotaye,,Alumni,Editorial Board,"Marketing & Advertising Director for Vol 55.1 Children
Editorial Assistant for Vol 54.1 Turkey"
Marie E. Mueller,Marie E.,Mueller,,Alumni,Editorial Board,Editorial Assistant for Vol 24.2 International Economic Development in the 1970s and Vol 24.1 Leadership
Marie-Louise Novotny,Marie-Louise,Novotny,,Alumni,Editorial Board,"Editorial Assistant for Vol 35.1 International Underground Economic Systems and Vol 34.2 Soviet-American Competition in the Third World
Special Projects Editor for Vol 36.1 The Human Rights of Indigenous Peoples and Vol 35.2 Toward a New World Information Order?"
Marilyn Z. Wellons,Marilyn Z.,Wellons,,Alumni,Editorial Board,"Editorial Assistant for Vol 21.2 Theory and Reality in International Relations
Associate Editor (Book Reviews) for Vol 22.2 Intervention and World Politics and Vol 22.1 East-West Détente"
Marta B. Baldursdottir,Marta B.,Baldursdottir,,Alumni,Editorial Board,Editorial Assistant for Vol 66.1 Transnational Organized Crime
Martha A. Stuckey,Martha A.,Stuckey,,Alumni,Editorial Board,Editorial Assistant for Vol 18.2 The Politics of Partition
Martin J. Sattler,Martin J.,Sattler,,Alumni,Editorial Board,"Editorial Assistant for Vol 24.1 Leadership, Vol 24.2 International Economic Development in the 1970s and Vol 26.1 The Military-Industrial Complex
Managing Editor for Vol 25.2 Change and the Future International System and Vol 25.1 Revolutionary Wars"
Mary Ann Grossman,Mary Ann,Grossman,,Alumni,Editorial Board,Editorial Assistant for Vol 26.1 The Military-Industrial Complex
Mary Ann Oppenheimer,Mary Ann,Oppenheimer,,Alumni,Editorial Board,Editorial Assistant for Vol 22.2 Intervention and World Politics and Vol 22.1 East-West Détente
Mary C. Mcllvaine,Mary C.,Mcllvaine,,Alumni,Editorial Board,"Editorial Assistant for Vol 14.2 The Americas
Associate Editor for Vol 14.1 A New Balance of Power?"
Mary E. Cronin,Mary E.,Cronin,,Alumni,Editorial Board,Editorial Assistant for Vol 21.2 Theory and Reality in International Relations
Mary Ellen Pignatelli,Mary,Pignatelli,,Alumni,Editorial Board,"Editorial Assistant for Vol 29.1 An Era of Negotiations
Editor-in-chief for Vol 30.1 Political Economy
Editorial Assistant for Vol 29.2 Power in the Third World"
Mary Jane Wignot,Mary Jane,Wignot,,Alumni,Editorial Board,Editorial Assistant for Vol 18.1 Statesmen and Succession
Mary W. Watkins,Mary W.,Watkins,,Alumni,Editorial Board,"Editorial Assistant for Vol 4.2 The Advancement of Underdeveloped Areas
Mary Watkins was featured by the Journal for Print issue Vol 4.2 The Advancement of Underdeveloped Areas published in 1950-51
Authored for Print issue Vol 5.2 Propaganda in World Politics published in 1951-52
Associate Editor for Vol 5.2 Propaganda in World Politics and Vol 5.1 American Foreign Policy"
Mathew J. Rosenwasser,Mathew J.,Rosenwasser,,Alumni,Editorial Board,Editorial Assistant for Vol 48.2 Transcending National Boundaries
Matthew G. Smith,Matthew G.,Smith,,Alumni,Editorial Board,Managing Editor for Vol 54.1 Turkey and Vol 53.2 Shadow Economies
Matthew L. Purcell,Matthew L.,Purcell,,Alumni,Editorial Board,Editorial Assistant for Vol 63.1 Pakistan & Afghanistan
Matthew P. Tiedemann,Matthew P.,Tiedemann,,Alumni,Editorial Board,Editor-in-Chief for Vol 46.1 Sub-Saharan Africa and Vol 45.2 Rethinking Nationalism and Sovereignty
Mattia Asinari Di San Marzano,Mattia Asinari,Di San Marzano,,Alumni,Editorial Board,Editorial Assistant for Vol 36.1 The Human Rights of Indigenous Peoples and Vol 35.2 Toward a New World Information Order?
Maurice J. Picard,Maurice J.,Picard,,Alumni,Editorial Board,"Editorial Assistant for Vol 14.1 A New Balance of Power?
Associate Editor for Vol 15.2 Ideology and Vol 15.1 Many Africas"
Megan J. Tetrick,Megan J.,Tetrick,,Alumni,Editorial Board,"Production Assistant for Vol 60.1 Historical Reconciliation
Director of Production for Vol 61.1 Religion & Statecraft and Vol 60.2 Iran"
Mei-Xi Gan,Mei-Xi,Gan,,Alumni,Editorial Board,Editorial Assistant for Vol 68.1 Breaking Point: Protests and Revoluions
Melinda Miriam Elias,Melinda Miriam,Elias,,Alumni,Editorial Board,"Production Assistant for Vol 63.1 Pakistan & Afghanistan
Editorial Assistant for Vol 64.2 Sino-Indian Relations"
Melissa A. Sawin,Melissa A.,Sawin,,Alumni,Editorial Board,Editor-in-Chief for Vol 47.1 The Power of the Media in the Global System and Vol 46.2 Keeping the Peace
Merli Margaret Kaplan,Merli Margaret,Kaplan,,Alumni,Editorial Board,Managing Editor for Vol 35.1 International Underground Economic Systems and Vol 34.2 Soviet-American Competition in the Third World
Michael B. Clyne,Michael B.,Clyne,,Alumni,Editorial Board,"Editorial Assistant for Vol 61.1 Religion & Statecraft, Vol 61.2 Water and Vol 62.2 Africa in the 21st Century"
Michael B. Huang,Michael B.,Huang,,Alumni,Editorial Board,"Editorial Assistant for Vol 62.2 Africa in the 21st Century and Vol 62.1 Global Finance
Production Assistant for Vol 62.2 Africa in the 21st Century and Vol 62.1 Global Finance"
Michael B. O'Sullivan,Michael B.,O'Sullivan,,Alumni,Editorial Board,Editorial Assistant for Vol 59.2 The Globalization of Disaster and Vol 59.1 The Politics of the Sea
Michael E. Edo,Michael E.,Edo,,Alumni,Editorial Board,Managing Editor for Vol 20.2 Political Development in Latin America and Vol 20.1 East Central Europe
Michael G. Merin,Michael G.,Merin,,Alumni,Editorial Board,Senior Editor for Vol 38.1 Perspectives on Global Debt and Vol 37.2 The Politics of International Law
Michael J. Volkovitsch,Michael J.,Volkovitsch,,Alumni,Editorial Board,Editorial Assistant for Vol 42.2 Gorbachev's Era of New Thinking
Michael M. Milenkovitch,Michael M.,Milenkovitch,,Alumni,Editorial Board,Editorial Assistant for Vol 12.2 A Design for International Relations
Michael N. Pedroni,Michael N.,Pedroni,,Alumni,Editorial Board,"Editor-in-Chief for Vol 51.1 South Asia and Vol 50.2 Privatization
Editorial Assistant for Vol 50.1 Religion and Vol 49.2 Contemporary China"
Michele Dastin-Van Rijn,Michele Dastin-Van,Rijn,,Alumni,Editorial Board,Editorial Assistant for Vol 45.1 East Central Europe and Vol 44.2 The Politics of the Global Environment
Michelle M. Ng,Michelle M.,Ng,,Alumni,Editorial Board,Editorial Assistant for Vol 62.2 Africa in the 21st Century and Vol 62.1 Global Finance
Miki S. Noguchi,Miki S.,Noguchi,,Alumni,Editorial Board,Editorial Assistant for Vol 67.1 The Gender Issue
Mildred Lee Carr,Mildred Lee,Carr,,Alumni,Editorial Board,Editorial Assistant for Vol 20.1 East Central Europe
Min San Co,Min San,Co,,Alumni,Editorial Board,"Editorial Assistant for Vol 50.1 Religion and Vol 49.2 Contemporary China
Grants and Development Director for Vol 50.2 Privatization"
Mina Djuric Nikolic,Mina Djuric,Nikolic,,Alumni,Editorial Board,Senior Editor (Fall) for Vol 67.2 Global Food Security and Vol 67.1 The Gender Issue
Mindy C. Reiser,Mindy C.,Reiser,,Alumni,Editorial Board,Editorial Assistant for Vol 21.2 Theory and Reality in International Relations
Mirka Della Cava,Mirka Della,Cava,,Alumni,Editorial Board,Editorial Assistant for Vol 44.2 The Politics of the Global Environment
Mitchell J. Reznick,Mitchell J.,Reznick,,Alumni,Editorial Board,Managing Editor for for Vol 51.1 South Asia and Vol 50.2 Privatization
Moeed Hassan Pirzada,Moeed Hassan,Pirzada,,Alumni,Editorial Board,Editorial Assistant for Vol 56.1 Face of the State and Vol 55.2 Toeing the Blue Line
Molly Dora Slotznick,Molly Dora,Slotznick,,Alumni,Editorial Board,Editorial Assistant for Vol 67.2 Global Food Security
Monica A. Tedeschi,Monica A.,Tedeschi,,Alumni,Editorial Board,"Managing Editor for Vol 56.1 Face of the State and Vol 55.2 Toeing the Blue Line
Production Director for Vol 55.1 Children and Vol 54.2 Rogue States
Monica Tedeschi was interviewed by the Journal for Print issue Vol 55.1 Children published in 2001-02"
Monica C. Bernardo,Monica C.,Bernardo,,Alumni,Editorial Board,Authored for Print issue Vol 60.1 Historical Reconciliation published in 2006-07
Monique C. Widyono,Monique C.,Widyono,,Alumni,Editorial Board,Editorial Assistant for Vol 50.2 Privatization
Muhammad Wagas Halim,Muhammad Wagas,Halim,,Alumni,Editorial Board,Editorial Assistant for Vol 64.2 Sino-Indian Relations
Murat Z. Akalin,Murat Z.,Akalin,,Alumni,Editorial Board,Editorial Assistant for Vol 48.1 Contemporary Issues in World Trade and Vol 47.2 Refugees and International Population Flows
Myrna Varela-Salazar,Myrna,Varela-Salazar,,Alumni,Editorial Board,Editorial Assistant for Vol 58.2 Financing Development
Nadine F. Joseph,Nadine F.,Joseph,,Alumni,Editorial Board,Associate Editor (Promotions) for Vol 26.1 The Military-Industrial Complex and Vol 26.2 Micropolitics
Nancy L. Schwalje,Nancy L.,Schwalje,,Alumni,Editorial Board,Senior Editor for Vol 51.1 South Asia and Vol 50.2 Privatization
Nancy Van Itallie,Nancy,Van Itallie,,Alumni,Editorial Board,"Style Assistant for Vol 54.2 Rogue States
Editorial Assistant for Vol 55.1 Children and Vol 54.2 Rogue States
Editor-in-Chief for Vol 56.1 Face of the State and Vol 55.2 Toeing the Blue Line"
Negar Rachel Makabi,Negar Rachel,Makabi,,Alumni,Editorial Board,"Editorial Assistant for Vol 59.2 The Globalization of Disaster and Vol 59.1 The Politics of the Sea
Primary Lead Editor for Vol 60.1 Historical Reconciliation"
Neha Devendra Jani,Neha Devendra,Jani,,Alumni,Editorial Board,"Editorial Assistant for Vol 50.1 Religion and Vol 49.2 Contemporary China
Associate Editor (Cordier Essay) for Vol 51.1 South Asia and Vol 50.2 Privatization"
Nell E. Funk,Nell E.,Funk,,Alumni,Editorial Board,"Editorial Assistant for Vol 30.1 Political Economy
Special Projects for Vol 30.2 Women and Change in the Developing World"
Nicholas D. Ressetar,Nicholas D.,Ressetar,,Alumni,Editorial Board,Book Reviews Editor for Vol 37.1 Japan's New World Role and Vol 36.2 Religion and Politics
Nicholas J. Minella,Nicholas J.,Minella,,Alumni,Editorial Board,Production Manager for Vol 51.1 South Asia and Vol 50.2 Privatization
Nicholas J. Spiliotes,Nicholas J.,Spiliotes,,Alumni,Editorial Board,"Managing Editor for Vol 33.1 Technology and the New International Order and Vol 32.2 Leadership Succession in the Communist States
Circulations Editor for Vol 31.1 The Global Commons, Vol 31.2 The Future World Order and Vol 32.1 International Terrorism"
Nicholas P. Gal,Nicholas P.,Gal,,Alumni,Editorial Board,Editorial Assistant for Vol 4.2 The Advancement of Underdeveloped Areas
Nicholas W. Danforth,Nicholas W.,Danforth,,Alumni,Editorial Board,Editorial Assistant for Vol 19.2 Mediterranean Europe
Nievelt,,Nievelt,,Alumni,Editorial Board,Editorial Assistant for Vol 68.1 Breaking Point: Protests and Revoluions
Nikola M. Smith,Nikola M.,Smith,,Alumni,Editorial Board,Editorial Assistant for Vol 59.1 The Politics of the Sea
Nin-Hai Tseng,Nin-Hai,Tseng,,Alumni,Editorial Board,Editorial Assistant for Vol 61.2 Water
Nina,,Nina,,Alumni,Editorial Board,"Editorial Assistant for Vol 51.2 Technology and International Policy, Vol 60.1 Historical Reconciliation, Vol 60.2 Iran and Vol 67.1 The Gender Issue
Authored for Print issue Vol 63.2 Rethinking Russia published in 2009-10"
Noble E. C. Power,Noble E. C.,Power,,Alumni,Editorial Board,Associate Editor for Vol 9.2 The United Nations After Ten Years and Vol 9.1 Problems and Progress in Latin America
Norman E. Eliasson,Norman E.,Eliasson,,Alumni,Editorial Board,"Associate Editor for Vol 4.2 The Advancement of Underdeveloped Areas and Vol 4.1 Europe After the Marshall Plan
Editorial Assistant for Vol 3.2 Regional Organizations"
Ogniana V. Ivanova,Ogniana V.,Ivanova,,Alumni,Editorial Board,Editorial Assistant for Vol 55.1 Children and Vol 54.2 Rogue States
Olatz Erodozia-Ibanez,Olatz,Erodozia-Ibanez,,Alumni,Editorial Board,Editorial Assistant for Vol 54.1 Turkey
Olivia Dolores Gimeno,Olivia Dolores,Gimeno,,Alumni,Editorial Board,Editorial Assistant for Vol 61.2 Water
Olivier Te Bockhorst,Olivier Te,Bockhorst,,Alumni,Editorial Board,Editorial Assistant for Vol 47.2 Refugees and International Population Flows
Oumou Khairy Leve,Oumou Khairy,Leve,,Alumni,Editorial Board,Editorial Assistant for Vol 63.1 Pakistan & Afghanistan
Patrice Allen-Gifford,Patrice,Allen-Gifford,,Alumni,Editorial Board,"Editorial Assistant for Vol 34.1 International Relations of Developing Countries and Vol 33.2 Politics of Labor Migration
Promotions Editor for Vol 35.1 International Underground Economic Systems and Vol 34.2 Soviet-American Competition in the Third World"
Patricia B. Grew,Patricia B.,Grew,,Alumni,Editorial Board,Associate Editor (Subscriptions) for Vol 25.2 Change and the Future International System and Vol 25.1 Revolutionary Wars
Patricia H. Barsumian,Patricia H.,Barsumian,,Alumni,Editorial Board,Translations Consultant for Vol 19.2 Mediterranean Europe
Patricia J. Eby,Patricia J.,Eby,,Alumni,Editorial Board,Editorial Assistant for Vol 24.1 Leadership
Patrick Von Aulock,Patrick,Von Aulock,,Alumni,Editorial Board,Editorial Assistant for Vol 38.1 Perspectives on Global Debt
Paul A. Shapiro,Paul A.,Shapiro,,Alumni,Editorial Board,"Editorial Assistant for Vol 23.2 National Politics and Foreign Policy
Editor for Vol 24.2 International Economic Development in the 1970s and Vol 24.1 Leadership"
Paul J. Hodge,Paul J.,Hodge,,Alumni,Editorial Board,Editorial Assistant for Vol 42.2 Gorbachev's Era of New Thinking
Paul N. Eatman,Paul N.,Eatman,,Alumni,Editorial Board,Managing Editor for Vol 30.2 Women and Change in the Developing World
Paul Pulickal Matthew,Paul Pulickal,Matthew,,Alumni,Editorial Board,Editorial Assistant for Vol 70.1 The Cyber Issue
Paul V. Connelly,Paul V.,Connelly,,Alumni,Editorial Board,Editorial Assistant for Vol 26.2 Micropolitics
Pei Shan Hoe,Pei Shan,Hoe,,Alumni,Editorial Board,Editorial Assistant for Vol 64.2 Sino-Indian Relations
Penelope A. King,Penelope A.,King,,Alumni,Editorial Board,Editorial Assistant for Vol 19.2 Mediterranean Europe
Penn Nee Chow,Penn Nee,Chow,,Alumni,Editorial Board,Editorial Assistant for Vol 66.2 The Rise of Latin America
Peter B. Kaufman,Peter B.,Kaufman,,Alumni,Editorial Board,"Editorial Assistant for Vol 39.1 Technology in Space and Vol 38.2 Dilemmas of Democracy
Senior Editor for Vol 40.1 The Arms Trade and Vol 39.2 China in Transition"
Peter D. Anderson,Peter D.,Anderson,,Alumni,Editorial Board,Editorial Assistant for Vol 48.2 Transcending National Boundaries
Peter F. Brescia,Peter F.,Brescia,,Alumni,Editorial Board,"Editorial Assistant for Vol 3.2 Regional Organizations
Associate Editor for Vol 4.2 The Advancement of Underdeveloped Areas and Vol 4.1 Europe After the Marshall Plan"
Peter Gyallay-Pap,Peter,Gyallay-Pap,,Alumni,Editorial Board,Editorial Assistant for Vol 25.1 Revolutionary Wars
Peter L. Harnik,Peter L.,Harnik,,Alumni,Editorial Board,Managing Editor for Vol 29.2 Power in the Third World and Vol 29.1 An Era of Negotiations
Peter M. Herford,Peter M.,Herford,,Alumni,Editorial Board,"Authored for Print issue Vol 12.1 The Western Alliance published in 1958-59
Editorial Assistant for Vol 11.2 Communist China in World Politics and Vol 11.1 East Central Europe
Production Manager for Vol 12.2 A Design for International Relations and Vol 12.1 The Western Alliance"
Peter R. Range,Peter R.,Range,,Alumni,Editorial Board,Editorial Assistant for Vol 19.2 Mediterranean Europe
