Displayed Name,First Name,Last Name,Role,Time,Group,Personal Statement / Summary (optional)
Sarah L. Bachman,Sarah L.,Bachman,Print,Other,Author,Authored for Print issue Vol 53.2 Shadow Economies published in 1999-00
Sarah La Monaca,Sarah La,Monaca,Print,Other,Author,Authored for Print issue Vol 73.1 Climate Disruption published in 2019-20
Sarah Lindemann-Komarova,Sarah,Lindemann-Komarova,Print,Other,Author,Authored for Print issue Vol 63.2 Rethinking Russia published in 2009-10
Sarah R. Knight,Sarah R.,Knight,Print,Other,Author,"Authored for Print issue Vol 71.1 Democracy published in 2017-18

Sarah R. Knight is a Program Officer at Open Society Foundations, focusing on rule of law and government accountability in the US. Prior to joining Open Society in 2014, Ms. Knight served as vice president of network advancement at the American Constitution Society for Law and Policy, with responsibility for the organization’s national network of lawyer and student chapters, professional development activities, and its special projects in the states, working on issues including immigration, fair courts, and judicial nominations. From 2000 to 2006, she was an attorney with Perkins Coie LLP’s Seattle and Chicago offices, with a wide-ranging array of commercial and pro bono clients. Sarah Knight is a graduate of Williams College and New York University School of Law, where she served as co-editor-in-chief of the New York University Review of Law & Social Change."
Saul H. Mendlovitz,Saul H.,Mendlovitz,Print,Other,Author,Authored for Print issue Vol 31.2 The Future World Order published in 1977-78
Saul K. Padover,Saul K.,Padover,Print,Other,Author,"Authored for Print issue Vol 5.2 Propaganda in World Politics published in 1951-52

Saul K. Padover, Ph.D., Professor of Politics and History and Dean of the School of Politics, New School of Social Research, contributed numerous articles to World Politics, Foreign Affairs, American Scholar, The New Republic, and The Reporter. His published works include Experiment in Germany, Democracy by Thomas Jefferson, and Life and Death of Louis."
Scott M. Thomas,Scott M.,Thomas,Print,Other,Author,Authored for Print issue Vol 61.1 Religion & Statecraft published in 2007-08
Semra A. Mesulam,Semra A.,Mesulam,Print,Other,Author,Authored Book Review for Vol 58.1 State Building published in 2004-05
Senator Dennis Deconcini,Senator Dennis,Deconcini,Print,Other,Author,Authored for Print issue Vol 48.1 Contemporary Issues in World Trade published in 1994-95
Senator Williаm F. Кnowland,Senator William F.,Кnowland,Print,Other,Author,Authored for Print issue Vol 11.2 Communist China in World Politics published in 1957-58
Shahid J. Burki,Shahid J.,Burki,Print,Other,Author,Authored for Print issue Vol 38.1 Perspectives on Global Debt published in 1984-85
Sharon Stanton Russell,Sharon Stanton,Russell,Print,Other,Author,Authored for Print issue Vol 47.2 Refugees and International Population Flows published in 1993-94
Shirley Oakes Butler,Shirley Oakes,Butler,Print,Other,Author,Authored for Print issue Vol 31.1 The Global Commons published in 1977-78
Shu De Teo,Shu De,Teo,Print,Other,Author,Shu De Teo wrote the winning GPPN essay for Vol 71.2 Ungoverned Spaces published in 2017-18
Shuo Yan Chou,Shuo Yan,Chou,Print,Other,Author,-
Simonetta Di Pippo,Simonetta,Di Pippo,Print,Other,Author,"Simonetta Di Pippo was interviewed by the Journal for Print issue Vol 71.2 Ungoverned Spaces published in 2017-18

Simonetta Di Pippo is the Director of the United Nations Office of Outer Space Affairs (UNOOSA),"
Sir Alexander Halliday,Sir Alexander,Halliday,Print,Other,Author,-
Sir James Robertson,Sir James,Robertson,Print,Other,Author,Authored for Print issue Vol 16.2 Nation-Building published in 1962-63
Solomon M. Karmel,Solomon M.,Karmel,Print,Other,Author,Authored for Print issue Vol 49.2 Contemporary China published in 1995-96
Sonia Dávila-Poblete,Sonia,Dávila-Poblete,Print,Other,Author,Authored for Print issue Vol 61.2 Water published in 2007-08
Soon Sung Cho,Soon Sung,Cho,Print,Other,Author,Authored for Print issue Vol 27.2 Political Integration of Multi-State Nations published in 1973-74
Sophie Von Hatzfeldt,Sophie,Von Hatzfeldt,Print,Other,Author,"Sophie Von Hatzfeldt wrote the winning GPPN essay for Vol 66.2 The Rise of Latin America published in 2012-13

Sophie von Hatzfeldt is a graduate student at the Hertie School of Governance in Berlin completing a master’s degree in public policy. Her studies focus on political economy, democratization processes, and migration and integration, and her dissertation analyzes the challenges of transforming conventional economic and political structures toward sustainable development. She spent a year working as a young professional with the German Society for International Cooperation (GIZ) in Chile, together with the UN Economic Commission for Latin America and the Caribbean, and in China on issues of socially and environmentally sustainable economic development. She previously completed undergraduate studies in human geography and international law at University College Utrecht in the Netherlands and Sciences Po in Strasbourg."
Stanislaw H. Wellisz,Stanislaw H.,Wellisz,Print,Other,Author,Authored for Print issue Vol 24.2 International Economic Development in the 1970s published in 1970-71
Stanley C. M. Ing,Stanley C. M.,Ing,Print,Other,Author,Authored for Print issue Vol 37.1 Japan's New World Role published in 1983-84
Stanley D. Blum,Stanley D.,Blum,Print,Other,Author,Authored for Print issue Vol 6.2 The Korean Experience published in 1952-53
Stanley S. Hoffmann,Stanley S.,Hoffmann,Print,Other,Author,Authored for Print issue Vol 18.1 Statesmen and Succession published in 1964-65
Steffen W. Schmidt,Steffen W.,Schmidt,Print,Other,Author,Authored for Print issue Vol 30.2 Women and Change in the Developing World published in 1976-77
Stephanie G. Neuman,Stephanie G.,Neuman,Print,Other,Author,Authored for Print issue Vol 40.1 The Arms Trade published in 1986-87
Stephen C. Fairbanks,Stephen C.,Fairbanks,Print,Other,Author,Authored for Print issue Vol 54.2 Rogue States published in 2000-01
Stephen D. Krasner,Stephen D.,Krasner,Print,Other,Author,Authored for Print issue Vol 43.1 U.S. Alliance Management Toward the Year 2000 published in 1989-90
Stephen F. Cohen,Stephen F.,Cohen,Print,Other,Author,"Stephen F. Cohen was interviewed by the Journal for Print issue Vol 63.2 Rethinking Russia published in 2009-10

Stephen F. Cohen is Professor of Russian Studies and History at New York University and Professor of Politics Emeritus at Princeton University. His books include Bukharin and the Bolshevik Revolution; Rethinking the Soviet Experience; Failed Crusade: America and the Tragedy of Post-Communist Russia; and, most recently, Soviet Fates and Lost Alternatives: From Stalinism to the New Cold War. His forthcoming book, The Victims Return: Survivors of the Gulag After Stalin, will be published in August."
Stephen Fischer-Galati,Stephen,Fischer-Galati,Print,Other,Author,Authored for Print issue Vol 20.1 East Central Europe published in 1966-67
Stephen G. Xydis,Stephen G.,Xydis,Print,Other,Author,Authored for Print issue Vol 10.2 The Press in World Affairs published in 1956-57
Stephen H. Longrigg,Stephen H.,Longrigg,Print,Other,Author,Authored for Print issue Vol 19.1 The Arab World published in 1965-66
Stephen J. Kobrin,Stephen J.,Kobrin,Print,Other,Author,Authored for Print issue Vol 51.2 Technology and International Policy published in 1997-98
Stephen J. Turnovsky,Stephen J.,Turnovsky,Print,Other,Author,Authored for Print issue Vol 58.2 Financing Development published in 2004-05
Stephen M. Walt,Stephen M.,Walt,Print,Other,Author,Authored for Print issue Vol 43.1 U.S. Alliance Management Toward the Year 2000 published in 1989-90
Stephen P. Marks,Stephen P.,Marks,Print,Other,Author,Authored for Print issue Vol 52.2 Seeking Institutional Justice published in 1998-99
Stephen R. Rock,Stephen R.,Rock,Print,Other,Author,Authored Book Review for Vol 54.2 Rogue States published in 2000-01
Steven J. Warnecke,Steven J.,Warnecke,Print,Other,Author,Authored for Print issue Vol 30.1 Political Economy published in 1976-77
Steven L. Spiegel,Steven L.,Spiegel,Print,Other,Author,Authored for Print issue Vol 36.2 Religion and Politics published in 1982-83
Sue E. Eckert,Sue E.,Eckert,Print,Other,Author,Authored for Print issue Vol 62.1 Global Finance published in 2008-09
Susan C. Schwab,Susan C.,Schwab,Print,Other,Author,Authored for Print issue Vol 37.1 Japan's New World Role published in 1983-84
Susan D. Moeller,Susan D.,Moeller,Print,Other,Author,Authored for Print issue Vol 59.2 The Globalization of Disaster published in 2005-06 and Vol 59.2 The Globalization of Disaster published in 2005-06
Susan E. Perkins,Susan E.,Perkins,Print,Other,Author,Authored for Print issue Vol 67.1 The Gender Issue published in 2013-14
Susan Kaufman Purcell,Susan Kaufman,Purcell,Print,Other,Author,Authored for Print issue Vol 43.2 Mexico: Tradition and Transition published in 1989-90
Susan S. Purdy,Susan S.,Purdy,Print,Other,Author,Authored for Print issue Vol 36.2 Religion and Politics published in 1982-83
Suzanne Levi-Sanchez,Suzanne,Levi-Sanchez,Print,Other,Author,Authored for Print issue Vol 71.2 Ungoverned Spaces published in 2017-18
Syed Farooq Hasnat,Syed Farooq,Hasnat,Print,Other,Author,Authored for Print issue Vol 63.1 Pakistan & Afghanistan published in 2009-10
Teresa Rakowska-Harmstone,Teresa,Rakowska-Harmstone,Print,Other,Author,"Authored Book Review for Vol 41.2 Europe published in 1987-88
Authored for Print issue Vol 45.2 Rethinking Nationalism and Sovereignty published in 1991-92"
Terry Lynn Karl,Terry Lynn,Karl,Print,Other,Author,Authored for Print issue Vol 53.1 Fueling the 21st Century published in 1999-00
Thad P. Alton,Thad P.,Alton,Print,Other,Author,Authored for Print issue Vol 20.1 East Central Europe published in 1966-67
Theodore H. Moran,Theodore H.,Moran,Print,Other,Author,Authored for Print issue Vol 30.1 Political Economy published in 1976-77
Theodore M. Horbulyk,Theodore M.,Horbulyk,Print,Other,Author,Authored for Print issue Vol 61.2 Water published in 2007-08
Theodore P. Wright Jr.,Theodore P.,Wright Jr.,Print,Other,Author,Authored for Print issue Vol 14.2 The Americas published in 1960-61
Thi Hai Yen Nguyen,Thi Hai Yen,Nguyen,Print,Other,Author,Authored for Print issue Vol 55.2 Toeing the Blue Line published in 2001-02
Thijs Van De Graaf,Thijs,Van De Graaf,Print,Other,Author,Authored for Print issue Vol 73.1 Climate Disruption published in 2019-20
Thomas Boe Hornburg,Thomas Boe,Hornburg,Print,Other,Author,Authored for Print issue Vol 73.1 Climate Disruption published in 2019-20
Thomas E. Hachey,Thomas E.,Hachey,Print,Other,Author,Authored for Print issue Vol 27.2 Political Integration of Multi-State Nations published in 1973-74
Thomas F. Dorian,Thomas F.,Dorian,Print,Other,Author,Authored for Print issue Vol 35.1 International Underground Economic Systems published in 1981-82
Thomas G. Weiss,Thomas G.,Weiss,Print,Other,Author,Authored for Print issue Vol 70.2 The End of International Cooperation? published in 2016-17
Thomas H. Henriksen,Thomas H.,Henriksen,Print,Other,Author,Authored for Print issue Vol 54.2 Rogue States published in 2000-01
Thomas Hovet Jr.,Thomas,Hovet Jr.,Print,Other,Author,Authored for Print issue Vol 17.1 Diplomacy in Transition published in 1963-64
Thomas J. Trebat,Thomas J.,Trebat,Print,Other,Author,Authored for Print issue Vol 66.2 The Rise of Latin America published in 2012-13
Thomas J.R. Kent,Thomas J.R.,Kent,Print,Other,Author,Advisory Board from 2009-2010 and Authored Book Review for Vol 63.2 Rethinking Russia published in 2009-10
Thomas M. Callaghy,Thomas M.,Callaghy,Print,Other,Author,Authored for Print issue Vol 38.1 Perspectives on Global Debt published in 1984-85
Thomas T. Hammond,Thomas T.,Hammond,Print,Other,Author,Authored for Print issue Vol 20.1 East Central Europe published in 1966-67
Tilden J. Lemelle,Tilden J.,Lemelle,Print,Other,Author,Authored for Print issue Vol 25.2 Change and the Future International System published in 1971-72
Timothy J. Curran,Timothy J.,Curran,Print,Other,Author,Authored for Print issue Vol 37.1 Japan's New World Role published in 1983-84
Timothy M. Frye,Timothy M.,Frye,Print,Other,Author,Timothy M. Frye wrote the winning Andrew Wellington Cordier Student Essay Contest essay for Vol 45.2 Rethinking Nationalism and Sovereignty published in 1991-92
Tommie Sue Montgomery,Tommie Sue,Montgomery,Print,Other,Author,"Authored for Print issue Vol 36.2 Religion and Politics published in 1982-83
Authored Book Review for Vol 55.2 Toeing the Blue Line published in 2001-02"
U Hla Maung,U Hla,Maung,Print,Other,Author,Authored for Print issue Vol 10.1 Southeast Asia in Transition published in 1956-57
Utz J. Pape,Utz J.,Pape,Print,Other,Author,Utz J. Pape wrote the winning GPPN essay for Vol 65.1 Inside the Authoritarian State published in 2011-12
V. Spike Peterson,V. Spike,Peterson,Print,Other,Author,Authored for Print issue Vol 37.2 The Politics of International Law published in 1983-84
Vanda Felbab-Brown,Vanda,Felbab-Brown,Print,Other,Author,Vanda Felbab-Brown was interviewed by the Journal for Print issue Vol 66.1 Transnational Organized Crime published in 2012-13
Varaprasad S. Dolla,Varaprasad S.,Dolla,Print,Other,Author,Authored for Print issue Vol 64.2 Sino-Indian Relations published in 2010-11
Vernon V. Aspaturian,Vernon V.,Aspaturian,Print,Other,Author,Authored for Print issue Vol 17.1 Diplomacy in Transition published in 1963-64 and Vol 26.1 The Military-Industrial Complex published in 1972-73
Victor T. Le Vine,Victor T.,Le Vine,Print,Other,Author,Authored for Print issue Vol 18.2 The Politics of Partition published in 1964-65
Virginia C. Gildersleeve,Virginia C.,Gildersleeve,Print,Other,Author,Authored for Print issue Vol 1.1 Higher Education in International Affairs published in 1947-48
W. Averell Harriman,W. Averell,Harriman,Print,Other,Author,Authored for Print issue Vol 29.1 An Era of Negotiations published in 1975-76
W. Howard Wriggins,W. Howard,Wriggins,Print,Other,Author,Authored Book Review for Vol 46.2 Keeping the Peace published in 1992-93
W. I. Stewart Jr.,W. I.,Stewart Jr.,Print,Other,Author,Authored for Print issue Vol 12.1 The Western Alliance published in 1958-59
W.R. Böhning,W.R.,Böhning,Print,Other,Author,Authored for Print issue Vol 33.2 Politics of Labor Migration published in 1979-80
W. Wendell Cleland,W. Wendell,Cleland,Print,Other,Author,Authored for Print issue Vol 6.1 The Middle East at Mid-Century published in 1952-53
Walter C. Clemens Jr.,Walter C.,Clemens Jr.,Print,Other,Author,"Authored Book Review for Vol 26.1 The Military-Industrial Complex published in 1972-73
Authored for Print issue Vol 28.2 Communism and Détente published in 1974-75"
Walter Darnell Jacobs,Walter Darnell,Jacobs,Print,Other,Author,Authored for Print issue Vol 26.1 The Military-Industrial Complex published in 1972-73
Walter G. Park,Walter G.,Park,Print,Other,Author,Authored for Print issue Vol 64.1 Innovating for Development published in 2010-11
Warner R. Schilling,Warner R.,Schilling,Print,Other,Author,Authored for Print issue Vol 13.1 Science and World Politics published in 1959-60
Werner J. Feld,Werner J.,Feld,Print,Other,Author,Authored for Print issue Vol 22.1 East-West Détente published in 1968-69 and Vol 28.1 World Trade and United States Foreign Policy published in 1974-75
Wilfrid L. Kohl,Wilfrid L.,Kohl,Print,Other,Author,Authored for Print issue Vol 30.1 Political Economy published in 1976-77
William A. Hance,William A.,Hance,Print,Other,Author,Authored for Print issue Vol 15.1 Many Africas published in 1961-62
William A. Masters,William A.,Masters,Print,Other,Author,Authored for Print issue Vol 58.2 Financing Development published in 2004-05
William B. Quandt,William B.,Quandt,Print,Other,Author,Authored for Print issue Vol 29.1 An Era of Negotiations published in 1975-76
William D. Coplin,William D.,Coplin,Print,Other,Author,Authored for Print issue Vol 25.2 Change and the Future International System published in 1971-72
William Diebold Jr.,William Diebold,Jr.,Print,Other,Author,Authored Book Review for Vol 41.2 Europe published in 1987-88
William E. Bertrand,William E.,Bertrand,Print,Other,Author,Authored for Print issue Vol 64.1 Innovating for Development published in 2010-11
William E. Butler,William E.,Butler,Print,Other,Author,Authored for Print issue Vol 42.2 Gorbachev's Era of New Thinking published in 1988-89
William H. Draper Jr.,William H.,Draper Jr.,Print,Other,Author,Authored for Print issue Vol 2.1 U.S. Occupation - Germany and Japan published in 1948-49
William H. Schauer,William H.,Schauer,Print,Other,Author,Authored for Print issue Vol 31.1 The Global Commons published in 1977-78
William L. Schachte Jr.,William L.,Schachte Jr.,Print,Other,Author,Authored for Print issue Vol 59.1 The Politics of the Sea published in 2005-06
William T. Lee,William T.,Lee,Print,Other,Author,Authored for Print issue Vol 26.1 The Military-Industrial Complex published in 1972-73
William T. R. Fox,William T. R.,Fox,Print,Other,Author,"Advisory Board from 1952-1988 and Authored for Print issue Vol 6.2 The Korean Experience published in 1952-53, Vol 31.1 The Global Commons published in 1977-78, and Vol 44.1 Theory, Values and Practice in International Relations published in 1990-91
Authored Book Review for Vol 29.2 Power in the Third World published in 1975-76"
William V. Rapp,William V.,Rapp,Print,Other,Author,Authored for Print issue Vol 37.1 Japan's New World Role published in 1983-84
Wilson C. Mcwilliams,Wilson C.,Mcwilliams,Print,Other,Author,Authored for Print issue Vol 23.2 National Politics and Foreign Policy published in 1969-70
Wilson P. Dizard Jr.,Wilson P.,Dizard Jr.,Print,Other,Author,Authored for Print issue Vol 39.1 Technology in Space published in 1985-86
Winston S. Churchill,Winston S.,Churchill,Print,Other,Author,Authored Book Review for Vol 5.2 Propaganda in World Politics published in 1951-52
Z. K. Matthews,Z. K.,Matthews,Print,Other,Author,Authored for Print issue Vol 7.2 Crisis in Africa published in 1953-54
